Year,SA2_codes,Postcode,Offence Count
2018,213011332,3038,761
2018,213011334,3021,2056
2018,213011569,3023,1834
2018,213011570,3026,563
2018,213021341,3018,441
2018,213021343,3025,517
2018,213021344,3015,533
2018,213021346,3016,604
2018,213031347,3019,491
2018,213031348,3011,1978
2018,213031349,3032,897
2018,213031351,3012,958
2018,213031352,3013,255
2018,213051361,3029,2443
2018,213051363,3027,154
2018,213051363,3028,791
2018,213051368,3030,2299
2018,214011370,3201,1105
2018,214011371,3199,3578
2018,214011372,3200,515
2018,214011374,3910,660
2018,214011375,3198,1025
2019,206011106,3057,197
2019,206011107,3052,727
2019,206011107,3055,428
2019,206011109,3044,540
2019,206011495,3056,1286
2019,206021110,3078,431
2019,206021112,3071,458
2019,206021500,3070,619
2019,206031115,3031,1211
2019,206031116,3039,595
2019,206031501,3041,406
2019,206031502,3040,625
2019,206041117,3053,623
2019,206041118,3008,1368
2019,206041119,3002,437
2019,206041504,3000,1548
2019,206041506,3051,975
2019,206041509,3006,1291
2019,206041510,3003,559
2019,206051128,3206,373
2019,206051129,3184,295
2019,206051130,3207,664
2019,206051134,3183,590
2019,206051511,3205,918
2019,206051514,3004,1725
2019,206051514,3182,2799
2019,206061135,3143,303
2019,206061136,3181,1345
2019,206061138,3142,389
2019,206061515,3141,768
2019,206071139,3067,762
2019,206071140,3054,194
2019,206071141,3066,1113
2019,206071142,3065,1247
2019,206071143,3068,391
2019,206071518,3121,2390
2019,207011147,3103,227
2019,207011148,3104,301
2019,207011149,3124,278
2019,207011152,3123,212
2019,207011154,3102,147
2019,207011155,3126,140
2019,207011519,3122,413
2019,207011522,3101,328
2019,207021156,3105,238
2019,207021157,3108,424
2019,207021159,3106,182
2019,207021160,3107,205
2019,207021425,3109,447
2019,207031161,3130,688
2019,207031163,3128,882
2019,207031164,3129,243
2019,207031165,3125,318
2019,207031166,3151,286
2019,207031167,3127,293
2019,208011168,3193,288
